Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C18, C2, C20, C3, C9",0603,7,100n,C14663
"C11, C6",CP_Elec_5x5.4,2,100uF,C191859
C12,0603,1,4n7,C696859
"C14, C7",CP_Elec_10x10.5,2,470u35V,C976030
"C16, C17",0603,2,1u10V,C59782
C21,0805,1,10u10V,C32635
"C4, C5",0805,2,47uF,C16780
"D1, D11, D13, D3, D5",D_SMA,5,SS34,C8678
"D14, D19, D2, D4, D6",0603,5,BLUE,C965807
"D15, D16, D17",D_SOD-123,3,B5819W,C2943878
D20,0603,1,GREEN,C965805
D21,0603,1,RED,C965799
D22,0603,1,WHITE,C965808
D23,0603,1,YELLOW,C965802
"D7, D8",D_SOD-123,2,1N4148W,C81598
"FB2, FB3",0805,2,CBM201209U601T,C139168
"J1, J10, J11, J12, J2, J3, J4, J5, J6, J9",TerminalBlock_bornier-3_P5.08mm,10,RM5.08,
J13,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,SWD,
J14,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,1,BOOTLDR,
"J15, J16",JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,2,PD03,
J17,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,PA01,
J7,PinHeader_2x08_P2.54mm_Vertical,1,EXT1,
J8,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,1,PA47,
"JP1, JP2",SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,2,Jumper_2_Bridged,
"K1, K2, K3",Relay_DPDT_Finder_40.52,3,RM84,
L1,L_6.6x7.1_H3,1,PSPMAA0605H-680M-IGF,C2983094
"Q1, Q2, Q3",SOT-23_GSD,3,Si2300,C347480
"R1, R3, R31, R4, R5, R8",0603,6,10k,C25804
"R10, R11, R20, R21, R23, R24, R25, R26, R27, R28, R29, R9",0603,12,4k7,C23162
"R13, R14",0603,2,470k,C23178
R15,0603,1,3k1,C2924132
R16,0603,1,1k0,C2907113
R17,0603,1,22k,C2907015
"R18, R19, R2, R32, R6",0603,5,10R,C2906983
"R30, R33, R7",0603,3,47k,C25819
U1,SOIC-16_3.9x9.9mm_P1.27mm,1,74AHC123,C554214
"U2, U4",SOT-23-6_Handsoldering,2,SRV05-4,C2836319
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,SP485EEN,C6855
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,XL1509-ADJ,C74192
U7,LQFP-48_7x7mm_P0.5mm,1,STM32G070CBTx,C529338
U8,SOT-23,1,HXY6206I-3V3,C5148688
