Designator,Mid X,Mid Y,Rotation,Layer
C1,148.105,-65.525,0.0,top
C11,141.6,-80.2,0.0,top
C12,132.865,-80.6,180.0,top
C13,127.765,-76.5,90.0,top
C14,117.0,-74.2,90.0,top
C16,136.6,-85.1,180.0,top
C17,137.2,-90.8,180.0,top
C18,120.5,-97.6,0.0,top
C2,94.9,-93.1,270.0,top
C20,125.7,-96.0,0.0,top
C21,121.9,-94.2,180.0,top
C3,122.2,-96.0,180.0,top
C4,97.5,-90.3,0.0,top
C5,104.5,-100.2,0.0,top
C6,137.3,-74.6,90.0,top
C7,105.6,-74.1,90.0,top
C9,135.365,-79.9,90.0,top
D1,57.0,-76.1,0.0,top
D11,98.1,-73.0,90.0,top
D13,125.0,-77.400001,90.0,top
D14,115.0,-81.8,180.0,top
D15,140.3,-87.6,270.0,top
D16,143.025,-106.550001,0.0,top
D17,142.999999,-125.1,0.0,top
D19,124.620001,-131.425001,90.0,top
D2,58.1,-72.2,90.0,top
D20,128.0,-131.412501,90.0,top
D21,126.3,-131.412501,90.0,top
D22,129.7,-131.412501,90.0,top
D23,122.900001,-131.425001,90.0,top
D3,70.2,-76.1,0.0,top
D4,71.3,-72.2,90.0,top
D5,83.4,-76.1,0.0,top
D6,84.5,-72.1,90.0,top
D7,96.7,-100.5,180.0,top
D8,96.7,-102.9,180.0,top
FB2,111.3,-81.6,180.0,top
FB3,142.7,-87.1,90.0,top
J1,69.8,-130.6,0.0,top
J10,117.8025,-56.3,180.0,top
J11,133.0425,-56.3,180.0,top
J12,148.2825,-56.3,180.0,top
J13,148.4,-106.5,90.0,top
J14,148.4,-125.1,90.0,top
J15,148.475,-92.6,90.0,top
J16,135.9,-105.8,90.0,top
J17,83.325001,-112.45,270.0,top
J2,54.52,-130.6,0.0,top
J3,107.6425,-130.6,0.0,top
J4,85.0,-130.6,0.0,top
J5,80.015,-56.3,180.0,top
J6,64.775,-56.3,180.0,top
J7,107.98,-117.26,270.0,top
J8,111.1,-94.6,270.0,top
J9,95.255,-56.3,180.0,top
K1,64.0,-81.3,270.0,top
K2,77.2,-81.3,270.0,top
K3,90.4,-81.3,270.0,top
L1,130.565,-86.5,180.0,top
Q1,64.0,-75.9625,270.0,top
Q2,77.2,-75.9625,270.0,top
Q3,90.4,-75.9625,270.0,top
R1,60.6,-73.2,0.0,top
R10,142.305,-66.225,180.0,top
R11,101.0,-100.1,0.0,top
R13,97.5,-88.5,180.0,top
R14,101.0,-103.0,0.0,top
R15,132.8525,-82.2,180.0,top
R16,132.865,-79.0,0.0,top
R17,118.5,-81.8,0.0,top
R18,142.305,-74.225,0.0,top
R19,142.305,-67.8,0.0,top
R2,67.5,-73.2,180.0,top
R20,143.7,-120.1,180.0,top
R21,143.7,-122.6,180.0,top
R23,142.2925,-71.0,0.0,top
R24,142.305,-72.625,0.0,top
R25,124.6,-128.0,270.0,top
R26,127.990001,-127.987501,270.0,top
R27,126.3,-127.9875,270.0,top
R28,129.71,-127.987501,270.0,top
R29,122.92,-128.000001,270.0,top
R3,74.6,-76.2,90.0,top
R30,64.0,-73.2,0.0,top
R31,87.0,-73.1,0.0,top
R32,93.9,-73.1,180.0,top
R33,90.4,-73.1,0.0,top
R4,61.4,-76.2,90.0,top
R5,73.8,-73.2,0.0,top
R6,80.7,-73.2,180.0,top
R7,77.2,-73.2,0.0,top
R8,87.8,-76.2,90.0,top
R9,142.3,-69.4,0.0,top
U1,101.0,-95.2,90.0,top
U2,97.8,-83.2,180.0,top
U3,149.105,-70.225,90.0,top
U4,137.3,-67.3,180.0,top
U6,131.365,-74.5,90.0,top
U7,122.1,-103.962385,270.0,top
U8,137.25,-87.9625,90.0,top
